numBKGDinFeature,numDMRinFeature,numBKGDNOTinFeature,numDMRNOTinFeature,estimate1,estimate2,statistic,p.value,parameter,conf.low,conf.high,method,alternative,feature,comparison,p.adj
3152,52,31033,256,0.092204183121252,0.168831168831169,21.2714239022232,3.98629967872223e-06,1,-0.118574625894393,-0.0346793455254407,2-sample test for equality of proportions without continuity correction,two.sided,CDS,Sal,0.000255123179438223
3152,2,31033,84,0.092204183121252,0.0232558139534884,4.88033236984954,0.0271643879857944,1,0.0369477205528086,0.100949017782719,2-sample test for equality of proportions without continuity correction,two.sided,CDS,Temp,0.260778124663626
3152,10,31033,169,0.092204183121252,0.0558659217877095,2.81433839260984,0.0934254088781694,1,0.00255443551515069,0.0701220871519344,2-sample test for equality of proportions without continuity correction,two.sided,CDS,TempxSal,0.689910711715713
3152,1,31033,19,0.092204183121252,0.05,0.425454012522658,0.514228067830916,1,-0.0533618703622353,0.137770236604739,2-sample test for equality of proportions without continuity correction,two.sided,CDS,Temp+Sal,0.985837058279041
3878,55,30307,253,0.113441567939155,0.178571428571429,12.8174098200391,0.000343408808684506,1,-0.108034170730888,-0.0222255505336597,2-sample test for equality of proportions without continuity correction,two.sided,exon,Sal,0.013186898253485
3878,3,30307,83,0.113441567939155,0.0348837209302326,5.27188119471233,0.0216725795671643,1,0.03963309187973,0.117482602138114,2-sample test for equality of proportions without continuity correction,two.sided,exon,Temp,0.23383480491869
3878,11,30307,168,0.113441567939155,0.0614525139664804,4.79550665177746,0.0285340632017102,1,0.0166468829640986,0.0873312249812497,2-sample test for equality of proportions without continuity correction,two.sided,exon,TempxSal,0.260882863558493
3878,1,30307,19,0.113441567939155,0.05,0.80014386597825,0.371050359443799,1,-0.0321344034431836,0.159017539321493,2-sample test for equality of proportions without continuity correction,two.sided,exon,Temp+Sal,0.985837058279041
340,4,33845,304,0.00994588269708937,0.012987012987013,0.28592418357381,0.592844326866241,1,-0.0157289371607954,0.0096466765809482,2-sample test for equality of proportions without continuity correction,two.sided,first_exon,Sal,0.985837058279041
340,0,33845,86,0.00994588269708937,0,0.86391676485891,0.352644929045286,1,0.00889396579732534,0.0109977995968534,2-sample test for equality of proportions without continuity correction,two.sided,first_exon,Temp,0.985837058279041
340,2,33845,177,0.00994588269708937,0.0111731843575419,0.0272213100923541,0.868952783317151,1,-0.0166613980691664,0.0142067947482613,2-sample test for equality of proportions without continuity correction,two.sided,first_exon,TempxSal,0.985837058279041
340,0,33845,20,0.00994588269708937,0,0.20091476016769,0.653983488957605,1,0.00889396579732534,0.0109977995968534,2-sample test for equality of proportions without continuity correction,two.sided,first_exon,Temp+Sal,0.985837058279041
619,3,33566,305,0.0181073570279362,0.00974025974025974,1.20683668456435,0.271959514527857,1,-0.00269173576731389,0.0194259303426669,2-sample test for equality of proportions without continuity correction,two.sided,first_intron,Sal,0.985837058279041
619,4,33566,82,0.0181073570279362,0.0465116279069767,3.87775888672502,0.0489298302502098,1,-0.0729346336641826,0.0161260919061015,2-sample test for equality of proportions without continuity correction,two.sided,first_intron,Temp,0.408457713393056
619,4,33566,175,0.0181073570279362,0.0223463687150838,0.179752755650289,0.671585804555711,1,-0.0259380723164219,0.0174600489421268,2-sample test for equality of proportions without continuity correction,two.sided,first_intron,TempxSal,0.985837058279041
619,1,33566,19,0.0181073570279362,0.05,1.14234991771481,0.285156325164603,1,-0.127419930311287,0.0636346443671596,2-sample test for equality of proportions without continuity correction,two.sided,first_intron,Temp+Sal,0.985837058279041
3702,29,30483,279,0.108293111013602,0.0941558441558442,0.632424031126938,0.426467555083969,1,-0.0186440945987155,0.0469186283142321,2-sample test for equality of proportions without continuity correction,two.sided,gene,Sal,0.985837058279041
3702,12,30483,74,0.108293111013602,0.13953488372093,0.866521884965211,0.351920000924909,1,-0.104548835136914,0.0420652897222589,2-sample test for equality of proportions without continuity correction,two.sided,gene,Temp,0.985837058279041
3702,21,30483,158,0.108293111013602,0.11731843575419,0.150148856474125,0.698393146313949,1,-0.0562821393806968,0.0382314898995218,2-sample test for equality of proportions without continuity correction,two.sided,gene,TempxSal,0.985837058279041
3702,4,30483,16,0.108293111013602,0.2,1.74007545724199,0.187129266094663,1,-0.267042344356996,0.0836285663842014,2-sample test for equality of proportions without continuity correction,two.sided,gene,Temp+Sal,0.985837058279041
2915,15,31270,293,0.0852713178294574,0.0487012987012987,5.25196409611415,0.0219220129611272,1,0.0123502164926958,0.0607898217636215,2-sample test for equality of proportions without continuity correction,two.sided,intron,Sal,0.23383480491869
2915,9,31270,77,0.0852713178294574,0.104651162790698,0.412845977067574,0.520528522936295,1,-0.0841420026139903,0.0453823126915097,2-sample test for equality of proportions without continuity correction,two.sided,intron,Temp,0.985837058279041
2915,14,31270,165,0.0852713178294574,0.0782122905027933,0.113801822043658,0.735856647319751,1,-0.0323868138488335,0.0465048685021616,2-sample test for equality of proportions without continuity correction,two.sided,intron,TempxSal,0.985837058279041
2915,3,31270,17,0.0852713178294574,0.15,1.07324653566683,0.300213280064289,1,-0.221247259539587,0.0917898951985019,2-sample test for equality of proportions without continuity correction,two.sided,intron,Temp+Sal,0.985837058279041
399,2,33786,306,0.0116717858709961,0.00649350649350649,0.712346626872242,0.398665887663538,1,-0.00386379665016189,0.014220355405141,2-sample test for equality of proportions without continuity correction,two.sided,last_exon,Sal,0.985837058279041
399,1,33786,85,0.0116717858709961,0.0116279069767442,1.43180591400346e-05,0.996980874953431,1,-0.0226420990417767,0.0227298568302805,2-sample test for equality of proportions without continuity correction,two.sided,last_exon,Temp,0.996980874953431
399,3,33786,176,0.0116717858709961,0.0167597765363128,0.3987178020456,0.527752181201556,1,-0.0239279514479529,0.0137519701173193,2-sample test for equality of proportions without continuity correction,two.sided,last_exon,TempxSal,0.985837058279041
399,0,33786,20,0.0116717858709961,0,0.236190874825427,0.626970904430439,1,0.0105332425724896,0.0128103291695025,2-sample test for equality of proportions without continuity correction,two.sided,last_exon,Temp+Sal,0.985837058279041
290,2,33895,306,0.00848325288869387,0.00649350649350649,0.143976319132772,0.704359580907125,1,-0.00703289493859456,0.0110123877289693,2-sample test for equality of proportions without continuity correction,two.sided,last_intron,Sal,0.985837058279041
290,1,33895,85,0.00848325288869387,0.0116279069767442,0.100760475651312,0.750918935147596,1,-0.0258228928349684,0.0195335846588678,2-sample test for equality of proportions without continuity correction,two.sided,last_intron,Temp,0.985837058279041
290,2,33895,177,0.00848325288869387,0.0111731843575419,0.152930559844446,0.695750394984864,1,-0.018118800558327,0.0127389376206309,2-sample test for equality of proportions without continuity correction,two.sided,last_intron,TempxSal,0.985837058279041
290,0,33895,20,0.00848325288869387,0,0.171115827838876,0.67912203424603,1,0.00751103964520505,0.0094554661321827,2-sample test for equality of proportions without continuity correction,two.sided,last_intron,Temp+Sal,0.985837058279041
175,2,34010,306,0.00511920432938423,0.00649350649350649,0.112930643905149,0.736831993701751,1,-0.0103762559356564,0.00762765160741184,2-sample test for equality of proportions without continuity correction,two.sided,lnc_RNA,Sal,0.985837058279041
175,3,34010,83,0.00511920432938423,0.0348837209302326,14.7086650767487,0.000125468414008402,1,-0.0685512059284535,0.00902217272675688,2-sample test for equality of proportions without continuity correction,two.sided,lnc_RNA,Temp,0.0060224838724033
175,0,34010,179,0.00511920432938423,0,0.921027945418638,0.337205212056153,1,0.00436269018042082,0.00587571847834765,2-sample test for equality of proportions without continuity correction,two.sided,lnc_RNA,TempxSal,0.985837058279041
175,0,34010,20,0.00511920432938423,0,0.102910598934227,0.748364370343251,1,0.00436269018042082,0.00587571847834765,2-sample test for equality of proportions without continuity correction,two.sided,lnc_RNA,Temp+Sal,0.985837058279041
10567,115,23618,193,0.309112183706304,0.373376623376623,5.89696446780686,0.0151670025289209,1,-0.118505492992524,-0.0100233863481145,2-sample test for equality of proportions without continuity correction,two.sided,mRNA,Sal,0.22400496042714
10567,22,23618,64,0.309112183706304,0.255813953488372,1.14133481261238,0.28537045151001,1,-0.0390468369424438,0.145643297378307,2-sample test for equality of proportions without continuity correction,two.sided,mRNA,Temp,0.985837058279041
10567,84,23618,95,0.309112183706304,0.46927374301676,21.3565952192976,3.81306748954554e-06,1,-0.233434360438482,-0.0868887581824298,2-sample test for equality of proportions without continuity correction,two.sided,mRNA,TempxSal,0.000255123179438223
10567,4,23618,16,0.309112183706304,0.2,1.11441863540428,0.291123448250651,1,-0.0662607591162985,0.284485126528906,2-sample test for equality of proportions without continuity correction,two.sided,mRNA,Temp+Sal,0.985837058279041
756,3,33429,305,0.0221149627029399,0.00974025974025974,2.17208701261848,0.140535396008429,1,0.00129634478775793,0.0234530611376024,2-sample test for equality of proportions without continuity correction,two.sided,put_promoter,Sal,0.933088360098649
756,6,33429,80,0.0221149627029399,0.0697674418604651,8.96015193127878,0.00275931945488153,1,-0.101517023234367,0.00621206491931629,2-sample test for equality of proportions without continuity correction,two.sided,put_promoter,Temp,0.0756841907624649
756,2,33429,177,0.0221149627029399,0.0111731843575419,0.988284814804688,0.320161942350351,1,-0.00453513870371706,0.026418695394513,2-sample test for equality of proportions without continuity correction,two.sided,put_promoter,TempxSal,0.985837058279041
756,2,33429,18,0.0221149627029399,0.1,5.59547375762849,0.0180069406758103,1,-0.209372659724722,0.0536025851306014,2-sample test for equality of proportions without continuity correction,two.sided,put_promoter,Temp+Sal,0.230488840650371
66,0,34119,308,0.00193067134708205,0,0.595786772204072,0.440190093703759,1,0.00146533730036116,0.00239600539380295,2-sample test for equality of proportions without continuity correction,two.sided,TE:DIRS/DIRS,Sal,0.985837058279041
66,0,34119,86,0.00193067134708205,0,0.166358112711095,0.683368960466418,1,0.00146533730036116,0.00239600539380295,2-sample test for equality of proportions without continuity correction,two.sided,TE:DIRS/DIRS,Temp,0.985837058279041
66,1,34119,178,0.00193067134708205,0.00558659217877095,1.2230802536,0.268756997016752,1,-0.0145847233620794,0.00727288169870165,2-sample test for equality of proportions without continuity correction,two.sided,TE:DIRS/DIRS,TempxSal,0.985837058279041
66,1,34119,19,0.00193067134708205,0.05,23.6253587151201,1.17034987395792e-06,1,-0.143587291544322,0.0474486342384858,2-sample test for equality of proportions without continuity correction,two.sided,TE:DIRS/DIRS,Temp+Sal,0.000224707175799921
197,1,33988,307,0.00576276144507825,0.00324675324675325,0.338567584838144,0.560657208281345,1,-0.00388764304057819,0.0089196594372282,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA,Sal,0.985837058279041
197,0,33988,86,0.00576276144507825,0,0.498462798134877,0.480176335137036,1,0.00496036197621524,0.00656516091394126,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA,Temp,0.985837058279041
197,1,33988,178,0.00576276144507825,0.00558659217877095,0.000964702246879031,0.975221963776294,1,-0.0107721654874744,0.011124504020089,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA,TempxSal,0.985837058279041
197,0,33988,20,0.00576276144507825,0,0.115922874164256,0.733499235145206,1,0.00496036197621524,0.00656516091394126,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA,Temp+Sal,0.985837058279041
3,0,34182,308,8.77577885037297e-05,0,0.0270317499231261,0.869405754168254,1,-1.15433155117163e-05,0.000187058892519176,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/CMC-EnSpm,Sal,0.985837058279041
3,0,34182,86,8.77577885037297e-05,0,0.00754783053005059,0.930768287178441,1,-1.15433155117163e-05,0.000187058892519176,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/CMC-EnSpm,Temp,0.985837058279041
3,0,34182,179,8.77577885037297e-05,0,0.0157100156369561,0.900254702119118,1,-1.15433155117163e-05,0.000187058892519176,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/CMC-EnSpm,TempxSal,0.985837058279041
3,0,34182,20,8.77577885037297e-05,0,0.00175530972210401,0.966581273047802,1,-1.15433155117163e-05,0.000187058892519176,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/CMC-EnSpm,Temp+Sal,0.985837058279041
15,0,34170,308,0.000438788942518649,0,0.135205791352256,0.713094404080207,1,0.000216783902725144,0.000660793982312153,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/Crypton,Sal,0.985837058279041
15,0,34170,86,0.000438788942518649,0,0.0377523728111533,0.845941221750747,1,0.000216783902725144,0.000660793982312153,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/Crypton,Temp,0.985837058279041
15,0,34170,179,0.000438788942518649,0,0.0785775200590189,0.77923444672001,1,0.000216783902725144,0.000660793982312153,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/Crypton,TempxSal,0.985837058279041
15,0,34170,20,0.000438788942518649,0,0.00877962900195985,0.92534772885017,1,0.000216783902725144,0.000660793982312153,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/Crypton,Temp+Sal,0.985837058279041
2,0,34183,308,5.85051923358198e-05,0,0.0180206441264604,0.893212011746023,1,-2.25750055563428e-05,0.000139585390227982,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/Dada,Sal,0.985837058279041
2,0,34183,86,5.85051923358198e-05,0,0.00503174018508027,0.943449678514855,1,-2.25750055563428e-05,0.000139585390227982,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/Dada,Temp,0.985837058279041
2,0,34183,179,5.85051923358198e-05,0,0.0104730389636119,0.918488499782965,1,-2.25750055563428e-05,0.000139585390227982,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/Dada,TempxSal,0.985837058279041
2,0,34183,20,5.85051923358198e-05,0,0.00117017226784008,0.972711461985762,1,-2.25750055563428e-05,0.000139585390227982,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/Dada,Temp+Sal,0.985837058279041
2,0,34183,308,5.85051923358198e-05,0,0.0180206441264604,0.893212011746023,1,-2.25750055563428e-05,0.000139585390227982,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/Ginger,Sal,0.985837058279041
2,0,34183,86,5.85051923358198e-05,0,0.00503174018508027,0.943449678514855,1,-2.25750055563428e-05,0.000139585390227982,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/Ginger,Temp,0.985837058279041
2,0,34183,179,5.85051923358198e-05,0,0.0104730389636119,0.918488499782965,1,-2.25750055563428e-05,0.000139585390227982,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/Ginger,TempxSal,0.985837058279041
2,0,34183,20,5.85051923358198e-05,0,0.00117017226784008,0.972711461985762,1,-2.25750055563428e-05,0.000139585390227982,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/Ginger,Temp+Sal,0.985837058279041
6,0,34179,308,0.000175515577007459,0,0.0540682027922764,0.81612972572234,1,3.50887716695853e-05,0.000315942382345333,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/Harbinger,Sal,0.985837058279041
6,0,34179,86,0.000175515577007459,0,0.0150969827289522,0.902210216678805,1,3.50887716695853e-05,0.000315942382345333,2-sample test for equality of proportions without continuity correction,two.sided,TE:DNA/Harbinger,Temp,0.985837058279041
